candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_ladder_ask_gap_max_pts_eob,0.3986013986013986,0.4527972027972028,0.0,rvol_trade_aggbuy_ratio,0.34965034965034963
bar5s_lvl_wall_at_level,0.3986013986013986,0.45104895104895104,-0.0017482517482517723,is_extended_forward,0.4230769230769231
bar5s_shape_bid_sz_l04_eob,0.1590909090909091,0.44755244755244755,-0.0052447552447552614,is_extended_forward,0.3986013986013986
bar5s_shape_bid_sz_l05_eob,0.256993006993007,0.4458041958041958,-0.006993006993007034,is_extended_forward,0.40559440559440557
bar5s_ladder_bid_gap_mean_pts_eob,0.3986013986013986,0.44405594405594406,-0.00874125874125875,is_extended_forward,0.3986013986013986
bar5s_setup_total_signed_vol,0.19755244755244755,0.44405594405594406,-0.00874125874125875,is_extended_forward,0.3968531468531469
bar5s_shape_bid_sz_l06_eob,0.32342657342657344,0.4423076923076923,-0.010489510489510523,is_extended_forward,0.4020979020979021
bar5s_setup_obi0_min,0.3094405594405594,0.4423076923076923,-0.010489510489510523,is_extended_forward,0.4230769230769231
bar5s_setup_size_at_level_start,0.3986013986013986,0.4423076923076923,-0.010489510489510523,is_extended_forward,0.4230769230769231
bar5s_shape_bid_ct_frac_l05_eob,0.3513986013986014,0.4405594405594406,-0.01223776223776224,rvol_trade_aggbuy_ratio,0.3706293706293706
bar5s_setup_start_dist_pts,0.38286713286713286,0.4405594405594406,-0.01223776223776224,is_extended_forward,0.40559440559440557
bar5s_deriv_cdi01_d2_w3,0.31993006993006995,0.4388111888111888,-0.013986013986014012,bar5s_setup_bid_wall_max_z,0.36713286713286714
bar5s_deriv_cdi12_d2_w12,0.29545454545454547,0.4388111888111888,-0.013986013986014012,bar5s_setup_bid_wall_max_z,0.3951048951048951
bar5s_shape_ask_sz_l01_eob,0.3321678321678322,0.4388111888111888,-0.013986013986014012,rvol_trade_aggbuy_ratio,0.3513986013986014
bar5s_shape_ask_sz_l06_eob,0.3269230769230769,0.4388111888111888,-0.013986013986014012,is_extended_forward,0.38636363636363635
bar5s_setup_size_at_level_delta,0.256993006993007,0.4388111888111888,-0.013986013986014012,rvol_trade_aggbuy_ratio,0.3409090909090909
bar5s_shape_ask_sz_frac_l04_eob,0.2727272727272727,0.4388111888111888,-0.013986013986014012,is_extended_forward,0.38636363636363635
bar5s_wall_bid_nearest_strong_dist_pts_eob,0.256993006993007,0.4370629370629371,-0.01573426573426573,is_extended_forward,0.40034965034965037
rvol_recent_vs_lookback_asymmetry,0.3986013986013986,0.4370629370629371,-0.01573426573426573,is_extended_forward,0.3811188811188811
bar5s_deriv_dabove01_d1_w12,0.3986013986013986,0.4353146853146853,-0.0174825174825175,is_extended_forward,0.3706293706293706
bar5s_flow_net_vol_ask_p1_2_sum,0.3986013986013986,0.4353146853146853,-0.0174825174825175,is_extended_forward,0.3881118881118881
bar5s_flow_cnt_add_bid_p1_2_sum,0.29895104895104896,0.4353146853146853,-0.0174825174825175,is_extended_forward,0.38286713286713286
bar5s_depth_above_p2_3_frac_eob,0.3986013986013986,0.4353146853146853,-0.0174825174825175,is_extended_forward,0.3706293706293706
bar5s_deriv_cdi12_d2_w72,0.3986013986013986,0.4353146853146853,-0.0174825174825175,is_extended_forward,0.38461538461538464
bar5s_shape_ask_sz_frac_l05_eob,0.27797202797202797,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.40559440559440557
bar5s_lvl_depth_band_0to1_frac_eob,0.3304195804195804,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.3951048951048951
bar5s_trade_signed_vol_sum,0.3986013986013986,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.38461538461538464
bar5s_flow_rem_vol_bid_p1_2_sum,0.3531468531468531,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.4090909090909091
rvol_trade_aggsell_ratio,0.3409090909090909,0.43356643356643354,-0.019230769230769273,rvol_trade_aggbuy_ratio,0.3688811188811189
bar5s_deriv_dask10_d2_w72,0.3986013986013986,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.34965034965034963
bar5s_deriv_wbidz_d1_w12,0.3986013986013986,0.43356643356643354,-0.019230769230769273,is_extended_forward,0.38636363636363635
bar5s_deriv_cdi12_d2_w36,0.26223776223776224,0.4318181818181818,-0.02097902097902099,is_extended_forward,0.3968531468531469
bar5s_flow_net_vol_ask_p2_3_sum,0.3374125874125874,0.4318181818181818,-0.02097902097902099,bar5s_setup_bid_wall_max_z,0.3793706293706294
bar5s_lvl_total_size_at_level_eob,0.3881118881118881,0.4318181818181818,-0.02097902097902099,is_extended_forward,0.4230769230769231
bar5s_lvl_level_book_index_ask,0.3881118881118881,0.4318181818181818,-0.02097902097902099,is_extended_forward,0.4230769230769231
bar5s_flow_cnt_add_ask_p2_3_sum,0.3618881118881119,0.4318181818181818,-0.02097902097902099,is_extended_forward,0.3688811188811189
bar5s_setup_min_dist_pts,0.256993006993007,0.4318181818181818,-0.02097902097902099,bar5s_setup_bid_wall_max_z,0.39335664335664333
bar5s_lvl_size_at_level_d1_w12,0.38286713286713286,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.38986013986013984
bar5s_setup_size_at_level_early_late_ratio,0.3986013986013986,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.3811188811188811
bar5s_lvl_cdi_p2_3_eob,0.3986013986013986,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.3793706293706294
bar5s_shape_ask_ct_frac_l09_eob,0.3986013986013986,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.3741258741258741
bar5s_shape_bid_sz_frac_l03_eob,0.3618881118881119,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.3793706293706294
bar5s_shape_ask_ct_frac_l01_eob,0.3986013986013986,0.43006993006993005,-0.022727272727272763,is_extended_forward,0.3688811188811189
