index,name,pearson_r,abs_pearson,spearman_r,f_stat,p_value,mutual_info,univariate_rank
14,signed_dist_pts,0.15405495197642205,0.15405495197642205,0.15866440766908219,17.473022035250473,5.195091815705539e-14,0.04340706827422558,1.0
17,is_extended_forward,0.136540493238976,0.136540493238976,0.163039315296396,85.54274454364125,3.028353965794447e-65,0.1113386766320299,2.0
328,bar5s_cumul_signed_trade_vol_rate,0.105573163791057,0.105573163791057,0.11446064439593975,5.659356044904917,0.00016103811013444848,0.0,3.0
325,bar5s_cumul_signed_trade_vol,0.10557316379105686,0.10557316379105686,0.11446064439593975,5.65935604490492,0.00016103811013444848,0.0,4.0
380,bar5s_setup_approach_bars,0.10097652195298765,0.10097652195298765,0.1493606500570881,45.770631955106005,3.095379891515689e-36,0.10438381821332454,5.0
376,bar5s_setup_start_dist_pts,-0.09667412965658684,0.09667412965658684,-0.09461005924144818,4.423600816778203,0.0014780004843720966,0.0,6.0
215,bar5s_trade_aggbuy_vol_sum,0.0920581940143264,0.0920581940143264,0.029975491468854174,4.695349806719328,0.0009111710328301977,0.008868314153063661,7.0
180,bar5s_flow_rem_vol_ask_p0_1_sum,0.08889438467034257,0.08889438467034257,0.035529764508718774,7.188364005487628,9.922619253634811e-06,0.02886878209925481,8.0
381,bar5s_setup_retreat_bars,0.08831043968091873,0.08831043968091873,0.1261775876766625,42.603086043007394,8.200652967995882e-34,0.10170318300773706,9.0
214,bar5s_trade_vol_sum,0.08794667428930104,0.08794667428930104,0.02848837413009635,5.045848482703366,0.0004865911354909076,0.033087446129957065,10.0
191,bar5s_flow_cnt_add_bid_p2_3_sum,0.08757851332197338,0.08757851332197338,0.028253244839281946,4.212661030976094,0.002147607921940603,0.024233124723268773,11.0
383,bar5s_setup_early_velocity,0.08710327218735422,0.08710327218735422,0.032923234833232826,1.6444021010134768,0.1606060716180063,0.01986375270176799,12.0
397,bar5s_setup_total_trade_vol,0.08676029837614714,0.08676029837614714,0.08768994705118456,4.526803916009828,0.0012303298248240787,0.014076322820409715,13.0
171,bar5s_flow_add_vol_bid_p0_1_sum,0.08480962140592124,0.08480962140592124,0.026126320560592397,6.758009430662149,2.181801532528589e-05,0.04083797551694479,14.0
386,bar5s_setup_velocity_trend,-0.08318169433989236,0.08318169433989236,-0.037427633646194676,1.47101701251646,0.20859003484417174,0.018342109769507342,15.0
18,extension_count,0.08226190637571294,0.08226190637571294,0.106372786911689,22.70723174465053,3.269474350916555e-18,0.050735024799619666,16.0
213,bar5s_trade_cnt_sum,0.08184556816352064,0.08184556816352064,0.025154720679679922,5.065755773159922,0.00046951024152839166,0.0,17.5
26,bar5s_meta_trade_cnt_sum,0.08184556816352064,0.08184556816352064,0.025154720679679922,5.065755773159922,0.00046951024152839166,0.0,17.5
189,bar5s_flow_cnt_add_bid_p0_1_sum,0.08163946176396229,0.08163946176396229,0.010561709475793865,6.867463270369882,1.786002428752965e-05,0.003735610457495042,19.0
198,bar5s_flow_cnt_cancel_ask_p0_1_sum,0.0806953981057932,0.0806953981057932,0.026332327072661577,8.243767087680629,1.4248632082330879e-06,0.0021493445296414393,20.0
23,bar5s_meta_add_cnt_sum,0.07997279446861634,0.07997279446861634,0.01696156711347237,7.626824932289497,4.43642579019068e-06,0.016090039906698106,21.0
177,bar5s_flow_rem_vol_bid_p0_1_sum,0.07829848403954397,0.07829848403954397,0.01188760192816119,6.535142557495358,3.277961016872956e-05,0.0,22.0
345,bar5s_lvl_depth_at_qty_eob,0.077728418616335,0.077728418616335,0.08886707288595318,5.2819195732479605,0.00031830289922053746,0.0,23.0
21,bar5s_meta_msg_cnt_sum,0.07690974951691223,0.07690974951691223,0.014927886654373664,7.728585843248092,3.6793836102727365e-06,0.0,24.0
377,bar5s_setup_min_dist_pts,-0.07626304214711804,0.07626304214711804,-0.11119879865103358,19.436411065063695,1.3681884357702404e-15,0.10316122494417446,25.0
192,bar5s_flow_cnt_add_ask_p0_1_sum,0.07587474752187777,0.07587474752187777,0.018529836905247732,7.865892952887848,2.858021954201475e-06,0.026034552819688805,26.0
216,bar5s_trade_aggsell_vol_sum,0.07580522545155587,0.07580522545155587,0.025413572090904158,4.910708537647179,0.0006199972717771296,0.02062392381947964,27.0
201,bar5s_flow_cnt_modify_bid_p0_1_sum,0.07534299582933135,0.07534299582933135,0.053501309019336106,5.731661136218253,0.00014128192655675335,0.0,28.0
207,bar5s_flow_net_volnorm_bid_p0_1_sum,0.07480053691392613,0.07480053691392613,0.07007557691956519,2.277557483203607,0.058941158006995106,0.02507801323848957,29.0
434,rvol_cumul_flow_imbal_dev,0.0741791826112985,0.0741791826112985,0.11273526632571731,2.037449691631194,0.08684468970779625,0.0064090579210458465,30.0
24,bar5s_meta_cancel_cnt_sum,0.07343239756742631,0.07343239756742631,0.012616401382605632,8.163194860870616,1.6529979211596188e-06,0.013659275589090747,31.0
174,bar5s_flow_add_vol_ask_p0_1_sum,0.07209325124282258,0.07209325124282258,0.021068845075196588,6.711560564826665,2.3751212084823817e-05,0.046785026303293176,32.0
239,bar5s_deriv_dist_d1_w72,0.07156447603870977,0.07156447603870977,0.10446269064081966,5.5599044680814425,0.00019276741425311046,0.0,33.0
228,bar5s_approach_abs_dist_to_level_pts_eob,-0.07029791378219727,0.07029791378219727,-0.10145568794242418,7.114927095513381,1.1352424945086864e-05,0.02615139513031428,34.0
361,bar5s_lvl_total_size_at_level_eob,-0.07029250264720543,0.07029250264720543,-0.06114291770374778,1.12848647306964,0.3413617739300834,0.009776264660938505,35.0
