Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_deriv_cdi01_d1_w36                           | NULLs: 10.2%                   | -0.0149    | 0.0160     | -0.0002    | 2.6     
bar5s_deriv_cdi01_d1_w72                           | NULLs: 20.4%                   | -0.0106    | 0.0089     | -0.0001    | 2.6     
bar5s_deriv_cdi01_d2_w3                            | NULLs: 1.7%                    | -0.1143    | 0.0963     | 0.0001     | 0.4     
bar5s_deriv_cdi01_d2_w12                           | NULLs: 6.8%                    | -0.0072    | 0.0069     | 0.0000     | 0.5     
bar5s_deriv_cdi01_d2_w36                           | NULLs: 20.4%                   | -0.0008    | 0.0008     | -0.0000    | 0.6     
bar5s_deriv_cdi01_d2_w72                           | NULLs: 40.7%                   | -0.0002    | 0.0002     | -0.0000    | 0.2     
bar5s_deriv_cdi12_d1_w3                            | NULLs: 0.8%                    | -0.3333    | 0.3704     | 0.0002     | 6.5     
bar5s_deriv_cdi12_d1_w12                           | NULLs: 3.4%                    | -0.0701    | 0.1037     | 0.0001     | 1.8     
bar5s_deriv_cdi12_d1_w36                           | NULLs: 10.2%                   | -0.0302    | 0.0254     | -0.0005    | 1.1     
bar5s_deriv_cdi12_d1_w72                           | NULLs: 20.4%                   | -0.0208    | 0.0126     | -0.0005    | 0.7     
bar5s_deriv_cdi12_d2_w3                            | NULLs: 1.7%                    | -0.2000    | 0.2346     | 0.0000     | 0.6     
bar5s_deriv_cdi12_d2_w12                           | NULLs: 6.8%                    | -0.0139    | 0.0143     | 0.0001     | 0.0     
bar5s_deriv_cdi12_d2_w36                           | NULLs: 20.4%                   | -0.0014    | 0.0014     | -0.0000    | 0.0     
bar5s_deriv_cdi12_d2_w72                           | NULLs: 40.7%                   | -0.0003    | 0.0005     | -0.0000    | 0.0     
bar5s_deriv_dbid10_d1_w3                           | NULLs: 0.8%                    | -6.6667    | 7.0000     | -0.0046    | 11.2    
bar5s_deriv_dbid10_d1_w12                          | NULLs: 3.4%                    | -1.8333    | 1.8333     | -0.0142    | 7.5     
bar5s_deriv_dbid10_d1_w36                          | NULLs: 10.2%                   | -0.8056    | 0.7500     | -0.0177    | 5.8     
bar5s_deriv_dbid10_d1_w72                          | NULLs: 20.4%                   | -0.4306    | 0.4306     | -0.0122    | 6.2     
bar5s_deriv_dbid10_d2_w3                           | NULLs: 1.7%                    | -2.7778    | 3.1111     | 0.0032     | 5.8     
bar5s_deriv_dbid10_d2_w12                          | NULLs: 6.8%                    | -0.1875    | 0.2569     | -0.0001    | 4.4     
bar5s_deriv_dbid10_d2_w36                          | NULLs: 20.4%                   | -0.0270    | 0.0355     | -0.0004    | 2.9     
bar5s_deriv_dbid10_d2_w72                          | NULLs: 40.7%                   | -0.0093    | 0.0112     | -0.0002    | 2.2     
bar5s_deriv_dask10_d1_w3                           | NULLs: 0.8%                    | -8.6667    | 11.0000    | -0.0148    | 10.2    
bar5s_deriv_dask10_d1_w12                          | NULLs: 3.4%                    | -2.5000    | 1.9167     | -0.0165    | 4.5     
bar5s_deriv_dask10_d1_w36                          | NULLs: 10.2%                   | -0.9444    | 0.8611     | -0.0089    | 3.5     
bar5s_deriv_dask10_d1_w72                          | NULLs: 20.4%                   | -0.3889    | 0.3889     | 0.0021     | 3.9     
bar5s_deriv_dask10_d2_w3                           | NULLs: 1.7%                    | -6.1111    | 3.7778     | 0.0021     | 5.9     
bar5s_deriv_dask10_d2_w12                          | NULLs: 6.8%                    | -0.3333    | 0.3542     | -0.0006    | 3.3     
bar5s_deriv_dask10_d2_w36                          | NULLs: 20.4%                   | -0.0363    | 0.0401     | -0.0008    | 2.0     
bar5s_deriv_dask10_d2_w72                          | NULLs: 40.7%                   | -0.0100    | 0.0098     | -0.0000    | 2.0     
bar5s_deriv_dbelow01_d1_w3                         | NULLs: 0.8%                    | -4.3333    | 4.0000     | -0.0024    | 18.9    
bar5s_deriv_dbelow01_d1_w12                        | NULLs: 3.4%                    | -0.9167    | 1.4167     | -0.0095    | 13.1    
bar5s_deriv_dbelow01_d1_w36                        | NULLs: 10.2%                   | -0.5000    | 0.4722     | -0.0119    | 10.6    
bar5s_deriv_dbelow01_d1_w72                        | NULLs: 20.4%                   | -0.2639    | 0.2500     | -0.0058    | 7.9     
bar5s_deriv_dbelow01_d2_w3                         | NULLs: 1.7%                    | -2.0000    | 1.7778     | 0.0037     | 9.4     
bar5s_deriv_dbelow01_d2_w12                        | NULLs: 6.8%                    | -0.1806    | 0.1528     | 0.0003     | 7.7     
bar5s_deriv_dbelow01_d2_w36                        | NULLs: 20.4%                   | -0.0162    | 0.0231     | -0.0004    | 6.7     
bar5s_deriv_dbelow01_d2_w72                        | NULLs: 40.7%                   | -0.0052    | 0.0069     | -0.0002    | 3.5     
bar5s_deriv_dabove01_d1_w3                         | NULLs: 0.8%                    | -5.3333    | 6.3333     | -0.0061    | 18.5    
bar5s_deriv_dabove01_d1_w12                        | NULLs: 3.4%                    | -1.4167    | 1.7500     | -0.0101    | 12.4    
bar5s_deriv_dabove01_d1_w36                        | NULLs: 10.2%                   | -0.5000    | 0.4722     | -0.0096    | 10.8    
bar5s_deriv_dabove01_d1_w72                        | NULLs: 20.4%                   | -0.2778    | 0.2222     | -0.0048    | 11.3    
bar5s_deriv_dabove01_d2_w3                         | NULLs: 1.7%                    | -3.3333    | 2.5556     | 0.0013     | 8.8     
bar5s_deriv_dabove01_d2_w12                        | NULLs: 6.8%                    | -0.2292    | 0.1944     | 0.0001     | 7.9     
bar5s_deriv_dabove01_d2_w36                        | NULLs: 20.4%                   | -0.0208    | 0.0255     | -0.0004    | 7.0     
bar5s_deriv_dabove01_d2_w72                        | NULLs: 40.7%                   | -0.0054    | 0.0066     | -0.0001    | 5.1     
bar5s_deriv_wbidz_d1_w3                            | NULLs: 0.8%                    | -0.7138    | 0.6518     | 0.0016     | 1.7     
bar5s_deriv_wbidz_d1_w12                           | NULLs: 3.4%                    | -0.1658    | 0.1453     | 0.0011     | 0.3     
bar5s_deriv_wbidz_d1_w36                           | NULLs: 10.2%                   | -0.0468    | 0.0515     | 0.0011     | 0.3     
bar5s_deriv_wbidz_d1_w72                           | NULLs: 20.4%                   | -0.0222    | 0.0222     | 0.0006     | 0.1     
bar5s_deriv_wbidz_d2_w3                            | NULLs: 1.7%                    | -0.3749    | 0.4061     | 0.0002     | 0.0     
bar5s_deriv_wbidz_d2_w12                           | NULLs: 6.8%                    | -0.0238    | 0.0220     | -0.0000    | 0.0     
bar5s_deriv_wbidz_d2_w36                           | NULLs: 20.4%                   | -0.0021    | 0.0025     | 0.0000     | 0.0     
bar5s_deriv_wbidz_d2_w72                           | NULLs: 40.7%                   | -0.0006    | 0.0005     | 0.0000     | 0.0     
bar5s_deriv_waskz_d1_w3                            | NULLs: 0.8%                    | -0.6310    | 0.4856     | 0.0003     | 1.7     
bar5s_deriv_waskz_d1_w12                           | NULLs: 3.4%                    | -0.1280    | 0.1349     | 0.0003     | 0.4     
bar5s_deriv_waskz_d1_w36                           | NULLs: 10.2%                   | -0.0588    | 0.0470     | 0.0006     | 0.0     
bar5s_deriv_waskz_d1_w72                           | NULLs: 20.4%                   | -0.0223    | 0.0263     | 0.0002     | 0.0     
bar5s_deriv_waskz_d2_w3                            | NULLs: 1.7%                    | -0.2650    | 0.3586     | 0.0001     | 0.2     
bar5s_deriv_waskz_d2_w12                           | NULLs: 6.8%                    | -0.0196    | 0.0211     | -0.0000    | 0.0     
bar5s_deriv_waskz_d2_w36                           | NULLs: 20.4%                   | -0.0022    | 0.0023     | 0.0000     | 0.0     
bar5s_deriv_waskz_d2_w72                           | NULLs: 40.7%                   | -0.0005    | 0.0005     | 0.0000     | 0.0     
bar5s_cumul_trade_vol                              | OK                             | 0.0000     | 432.0000   | 134.3840   | 0.4     
bar5s_cumul_signed_trade_vol                       | OK                             | -72.0000   | 42.0000    | -0.3414    | 2.8     
bar5s_cumul_aggbuy_vol                             | OK                             | 0.0000     | 203.0000   | 67.0213    | 0.8     
bar5s_cumul_aggsell_vol                            | OK                             | 0.0000     | 229.0000   | 67.3627    | 1.2     
bar5s_cumul_signed_trade_vol_rate                  | OK                             | -5.7500    | 3.0000     | -0.0043    | 2.8     
bar5s_cumul_flow_net_bid                           | OK                             | -14.0000   | 4496.0000  | 1622.7299  | 0.1     
bar5s_cumul_flow_net_ask                           | OK                             | -6.0000    | 4207.0000  | 1535.8164  | 0.0     
bar5s_cumul_flow_imbal                             | OK                             | -346.0000  | 579.0000   | 86.9135    | 0.2     
bar5s_cumul_flow_imbal_rate                        | OK                             | -36.5000   | 25.0000    | 0.5812     | 0.2     
bar5s_cumul_flow_net_bid_p0_1                      | OK                             | -22.0000   | 4202.0000  | 1400.6346  | 0.1     
bar5s_cumul_flow_net_bid_p1_2                      | OK                             | -70.0000   | 632.0000   | 158.3100   | 0.6     
bar5s_cumul_flow_net_bid_p2_3                      | OK                             | -4.0000    | 201.0000   | 63.7853    | 1.5     
bar5s_cumul_flow_net_ask_p0_1                      | OK                             | -5.0000    | 3980.0000  | 1299.9016  | 0.0     
bar5s_cumul_flow_net_ask_p1_2                      | OK                             | -33.0000   | 851.0000   | 234.7166   | 0.4     
bar5s_cumul_flow_net_ask_p2_3                      | OK                             | -92.0000   | 101.0000   | 1.1982     | 2.0     
bar5s_cumul_msg_cnt                                | OK                             | 23.0000    | 117227.0000 | 45007.7277 | 0.0     
bar5s_cumul_trade_cnt                              | OK                             | 0.0000     | 327.0000   | 98.3989    | 0.4     
bar5s_cumul_add_cnt                                | OK                             | 13.0000    | 54479.0000 | 20933.6425 | 0.0     
bar5s_cumul_cancel_cnt                             | OK                             | 10.0000    | 54410.0000 | 20930.2954 | 0.0     
bar5s_lvl_depth_above_qty_eob                      | OK                             | 0.0000     | 42.0000    | 4.7137     | 84.6    
bar5s_lvl_depth_below_qty_eob                      | OK                             | 0.0000     | 58.0000    | 35.5360    | 9.6     
bar5s_lvl_depth_at_qty_eob                         | OK                             | 0.0000     | 16.0000    | 0.9297     | 84.7    
bar5s_lvl_depth_imbal_eob                          | OK                             | -1.0000    | 1.0000     | 0.7569     | 0.0     
bar5s_lvl_depth_above_p0_1_qty_eob                 | OK                             | 0.0000     | 28.0000    | 14.8448    | 0.4     
bar5s_lvl_depth_below_p0_1_qty_eob                 | OK                             | 0.0000     | 27.0000    | 14.7726    | 0.4     
bar5s_lvl_cdi_p0_1_eob                             | OK                             | -0.6000    | 0.3636     | -0.0094    | 10.7    
bar5s_lvl_depth_above_p1_2_qty_eob                 | OK                             | 0.0000     | 28.0000    | 14.8090    | 0.4     
bar5s_lvl_depth_below_p1_2_qty_eob                 | OK                             | 0.0000     | 29.0000    | 15.7692    | 0.5     
bar5s_lvl_cdi_p1_2_eob                             | OK                             | -1.0000    | 1.0000     | 0.0355     | 5.7     
bar5s_lvl_depth_above_p2_3_qty_eob                 | OK                             | 0.0000     | 25.0000    | 7.3926     | 0.6     
bar5s_lvl_depth_below_p2_3_qty_eob                 | OK                             | 0.0000     | 23.0000    | 8.1708     | 1.2     
bar5s_lvl_cdi_p2_3_eob                             | OK                             | -1.0000    | 1.0000     | 0.0530     | 6.9     
bar5s_lvl_flow_toward_net_sum                      | OK                             | -26.0000   | 151.0000   | 8.8687     | 5.2     
bar5s_lvl_flow_away_net_sum                        | OK                             | -22.0000   | 202.0000   | 8.0445     | 5.7     
bar5s_lvl_flow_toward_away_imbal_sum               | OK                             | -79.0000   | 70.0000    | 0.8242     | 3.5     
bar5s_lvl_bid_size_at_level_eob                    | OK                             | 0.0000     | 8.0000     | 0.4302     | 89.3    
bar5s_lvl_ask_size_at_level_eob                    | OK                             | 0.0000     | 7.0000     | 1.5174     | 57.8    
bar5s_lvl_total_size_at_level_eob                  | OK                             | 0.0000     | 8.0000     | 1.9476     | 47.2    
bar5s_lvl_level_is_visible                         | OK                             | 0.0000     | 1.0000     | 0.5284     | 47.2    
bar5s_lvl_level_book_index_bid                     | OK                             | -1.0000    | 6.0000     | -0.7308    | 3.0     
bar5s_lvl_level_book_index_ask                     | OK                             | -1.0000    | 9.0000     | 1.0232     | 4.1     
bar5s_lvl_size_at_level_imbal_eob                  | OK                             | -1.0000    | 1.0000     | -0.3149    | 47.2    
bar5s_lvl_wall_at_level                            | OK                             | 0.0000     | 1.0000     | 0.0033     | 99.7    
bar5s_lvl_depth_band_0to1_qty_eob                  | OK                             | 0.0000     | 50.0000    | 19.3822    | 31.1    
bar5s_lvl_depth_band_1to2_qty_eob                  | OK                             | 0.0000     | 37.0000    | 14.0445    | 25.0    
bar5s_lvl_depth_band_beyond2_qty_eob               | OK                             | 5.0000     | 98.0000    | 42.9312    | 0.0     
bar5s_lvl_depth_band_0to1_frac_eob                 | OK                             | 0.0000     | 0.6512     | 0.2583     | 31.1    
bar5s_lvl_depth_band_1to2_frac_eob                 | OK                             | 0.0000     | 0.4898     | 0.1866     | 25.0    
bar5s_lvl_depth_band_beyond2_frac_eob              | OK                             | 0.0800     | 1.0000     | 0.5551     | 0.0     
bar5s_lvl_size_at_level_d1_w3                      | NULLs: 0.8%                    | -2.3333    | 2.3333     | -0.0013    | 58.1    
bar5s_lvl_size_at_level_d1_w12                     | NULLs: 3.4%                    | -0.5000    | 0.5833     | -0.0011    | 43.3    
bar5s_lvl_size_at_level_d2_w12                     | NULLs: 6.8%                    | -0.0764    | 0.0833     | -0.0002    | 32.1    
bar5s_setup_start_dist_pts                         | OK                             | -12.3333   | -0.1667    | -7.1479    | 0.0     
bar5s_setup_min_dist_pts                           | OK                             | 0.0000     | 0.0278     | 0.0065     | 76.5    
bar5s_setup_max_dist_pts                           | OK                             | 5.6667     | 12.7500    | 10.6951    | 0.0     
bar5s_setup_dist_range_pts                         | OK                             | 5.6667     | 12.7500    | 10.6886    | 0.0     
bar5s_setup_approach_bars                          | OK                             | 127.0000   | 227.0000   | 176.6429   | 0.0     
bar5s_setup_retreat_bars                           | OK                             | 122.0000   | 219.0000   | 168.7134   | 0.0     
bar5s_setup_approach_ratio                         | OK                             | 0.4585     | 0.5324     | 0.4862     | 0.0     
bar5s_setup_early_velocity                         | OK                             | -0.0107    | 0.0878     | 0.0425     | 0.0     
bar5s_setup_mid_velocity                           | OK                             | -0.0223    | 0.0672     | 0.0110     | 0.0     
bar5s_setup_late_velocity                          | OK                             | -0.0800    | -0.0239    | -0.0515    | 0.0     
bar5s_setup_velocity_trend                         | OK                             | -0.1595    | -0.0326    | -0.0940    | 0.0     
bar5s_setup_obi0_start                             | OK                             | -0.5000    | 0.5000     | -0.0892    | 9.6     
bar5s_setup_obi0_end                               | OK                             | -0.5000    | 0.4286     | -0.1517    | 31.2    
bar5s_setup_obi0_delta                             | OK                             | -1.0000    | 0.8571     | -0.0625    | 0.0     
bar5s_setup_obi0_min                               | OK                             | -0.7500    | -0.5000    | -0.6719    | 0.0     
bar5s_setup_obi0_max                               | OK                             | 0.5000     | 0.7500     | 0.6777     | 0.0     
bar5s_setup_obi10_start                            | OK                             | -0.1053    | 0.1714     | 0.0539     | 16.5    
bar5s_setup_obi10_end                              | OK                             | -0.0411    | 0.1828     | 0.1047     | 4.1     
bar5s_setup_obi10_delta                            | OK                             | -0.1840    | 0.2565     | 0.0508     | 0.0     
bar5s_setup_obi10_min                              | OK                             | -0.4386    | -0.1494    | -0.2876    | 0.0     
bar5s_setup_obi10_max                              | OK                             | 0.3143     | 0.3714     | 0.3478     | 0.0     
bar5s_setup_total_trade_vol                        | OK                             | 130.0000   | 432.0000   | 280.2539   | 0.0     
bar5s_setup_total_signed_vol                       | OK                             | -71.0000   | 23.0000    | -26.9093   | 0.0     
bar5s_setup_trade_imbal_pct                        | OK                             | -0.2328    | 0.1204     | -0.0663    | 0.0     
bar5s_setup_flow_imbal_total                       | OK                             | -301.0000  | 478.0000   | 28.3947    | 0.0     
bar5s_setup_bid_wall_max_z                         | OK                             | 2.5599     | 3.0000     | 2.8392     | 0.0     
bar5s_setup_ask_wall_max_z                         | OK                             | 2.4744     | 2.8724     | 2.6873     | 0.0     
bar5s_setup_bid_wall_bars                          | OK                             | 42.0000    | 81.0000    | 66.5177    | 0.0     
bar5s_setup_ask_wall_bars                          | OK                             | 23.0000    | 96.0000    | 65.5661    | 0.0     
bar5s_setup_wall_imbal                             | OK                             | -39.0000   | 15.0000    | -0.9516    | 10.8    
bar5s_setup_size_at_level_start                    | OK                             | 0.0000     | 4.0000     | 0.3395     | 87.2    
bar5s_setup_size_at_level_end                      | ALL_ZEROS; CONSTANT: 0.0       | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_setup_size_at_level_delta                    | OK                             | -4.0000    | 0.0000     | -0.3395    | 87.2    
bar5s_setup_size_at_level_max                      | OK                             | 6.0000     | 8.0000     | 7.0771     | 0.0     
bar5s_setup_size_at_level_recent12_sum             | ALL_ZEROS; CONSTANT: 0.0       | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_setup_size_at_level_early_late_ratio         | OK                             | 0.0000     | 36.8889    | 5.5145     | 19.4    
bar5s_setup_flow_toward_recent12_sum               | OK                             | 38.0000    | 353.0000   | 204.0835   | 0.0     
bar5s_setup_flow_toward_early_late_ratio           | OK                             | 0.8686     | 1.3758     | 1.0142     | 0.0     
rvol_trade_vol_ratio                               | OK                             | 0.0000     | 27000000000.0000 | 768761167.3615 | 70.2    
rvol_trade_vol_zscore                              | OK                             | 0.0000     | 27000000000.0000 | 768761167.3615 | 70.2    
rvol_trade_cnt_ratio                               | OK                             | 0.0000     | 13000000000.0000 | 560750446.6945 | 70.2    
rvol_trade_cnt_zscore                              | OK                             | 0.0000     | 13000000000.0000 | 560750446.6945 | 70.2    
rvol_trade_aggbuy_ratio                            | OK                             | 0.0000     | 22000000000.0000 | 346039309.1126 | 82.7    
rvol_trade_aggsell_ratio                           | OK                             | 0.0000     | 15000000000.0000 | 422721858.2490 | 81.5    
rvol_trade_aggbuy_zscore                           | OK                             | 0.0000     | 22000000000.0000 | 346039309.1126 | 82.7    
rvol_trade_aggsell_zscore                          | OK                             | 0.0000     | 15000000000.0000 | 422721858.2490 | 81.5    
rvol_flow_add_bid_ratio                            | OK                             | 0.0000     | 396000000000.0000 | 65173466349.0173 | 0.5     
rvol_flow_add_ask_ratio                            | OK                             | 0.0000     | 409000000000.0000 | 67617927337.7010 | 0.5     
rvol_flow_add_bid_zscore                           | OK                             | 0.0000     | 396000000000.0000 | 65173466349.0173 | 0.5     
rvol_flow_add_ask_zscore                           | OK                             | 0.0000     | 409000000000.0000 | 67617927337.7010 | 0.5     
rvol_flow_net_bid_ratio                            | CONSTANT: 1.0                  | 1.0000     | 1.0000     | 1.0000     | 0.0     
rvol_flow_net_ask_ratio                            | CONSTANT: 1.0                  | 1.0000     | 1.0000     | 1.0000     | 0.0     
rvol_flow_net_bid_zscore                           | OK                             | -22000000000.0000 | 202000000000.0000 | 8458010720.6671 | 5.4     
rvol_flow_net_ask_zscore                           | OK                             | -26000000000.0000 | 151000000000.0000 | 8455181655.7475 | 5.6     
rvol_flow_add_total_ratio                          | OK                             | 0.0000     | 805000000000.0000 | 132791393686.7183 | 0.2     
rvol_flow_add_total_zscore                         | OK                             | 0.0000     | 805000000000.0000 | 132791393686.7183 | 0.2     
rvol_cumul_trade_vol_dev                           | OK                             | 0.0000     | 432.0000   | 134.3840   | 0.4     
rvol_cumul_trade_vol_dev_pct                       | OK                             | 0.0000     | 432000000000.0000 | 134384008338.2966 | 0.4     
rvol_cumul_flow_imbal_dev                          | OK                             | -346.0000  | 579.0000   | 86.9135    | 0.2     
rvol_cumul_msg_dev                                 | OK                             | 23.0000    | 117227.0000 | 45007.7277 | 0.0     
rvol_bid_ask_add_asymmetry                         | OK                             | -95000000000.0000 | 146000000000.0000 | -2444460988.6837 | 2.5     
rvol_bid_ask_rem_asymmetry                         | OK                             | -115000000000.0000 | 105000000000.0000 | -2447290053.6033 | 3.3     
rvol_bid_ask_net_asymmetry                         | OK                             | -70000000000.0000 | 79000000000.0000 | 2829064.9196 | 3.5     
rvol_aggbuy_aggsell_asymmetry                      | OK                             | -14000000000.0000 | 17000000000.0000 | -76682549.1364 | 71.8    
rvol_lookback_trade_vol_mean_ratio                 | OK                             | 410256410.2564 | 1032352941.1765 | 768761167.3615 | 0.0     
rvol_lookback_trade_vol_max_ratio                  | OK                             | 13000000000.0000 | 27000000000.0000 | 14636837403.2162 | 0.0     
rvol_lookback_trade_vol_trend                      | OK                             | -539823008.8496 | 576086956.5217 | 61697263.2963 | 0.0     
rvol_lookback_elevated_bars                        | OK                             | 63.0000    | 156.0000   | 108.8240   | 0.0     
rvol_lookback_depressed_bars                       | OK                             | 186.0000   | 330.0000   | 255.1161   | 0.0     
rvol_lookback_asymmetry_mean                       | OK                             | -1086642599.2780 | 1175000000.0000 | 2829064.9196 | 0.0     
rvol_recent_vs_lookback_vol_ratio                  | OK                             | 0.0000     | 7.5041     | 0.9846     | 7.2     
rvol_recent_vs_lookback_asymmetry                  | OK                             | -114916431534676112.0000 | 5869003768580199.0000 | -20041619967011.1367 | 0.5     
