Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_shape_bid_px_l06_eob                         | OK                             | 6030.0000  | 6050.5000  | 6045.6557  | 0.0     
bar5s_shape_bid_px_l07_eob                         | OK                             | 6028.0000  | 6050.2500  | 6045.3611  | 0.0     
bar5s_shape_bid_px_l08_eob                         | OK                             | 6027.5000  | 6050.0000  | 6045.0453  | 0.0     
bar5s_shape_bid_px_l09_eob                         | OK                             | 6026.0000  | 6049.7500  | 6044.7697  | 0.0     
bar5s_shape_ask_px_l00_eob                         | OK                             | 6038.0000  | 6052.5000  | 6047.8325  | 0.0     
bar5s_shape_ask_px_l01_eob                         | OK                             | 6038.2500  | 6052.7500  | 6048.0887  | 0.0     
bar5s_shape_ask_px_l02_eob                         | OK                             | 6038.5000  | 6053.0000  | 6048.3538  | 0.0     
bar5s_shape_ask_px_l03_eob                         | OK                             | 6038.7500  | 6053.5000  | 6048.6138  | 0.0     
bar5s_shape_ask_px_l04_eob                         | OK                             | 6039.0000  | 6053.7500  | 6048.8698  | 0.0     
bar5s_shape_ask_px_l05_eob                         | OK                             | 6039.2500  | 6054.0000  | 6049.1269  | 0.0     
bar5s_shape_ask_px_l06_eob                         | OK                             | 6039.5000  | 6056.0000  | 6049.3870  | 0.0     
bar5s_shape_ask_px_l07_eob                         | OK                             | 6039.7500  | 6058.5000  | 6049.6496  | 0.0     
bar5s_shape_ask_px_l08_eob                         | OK                             | 6040.0000  | 6060.0000  | 6049.9139  | 0.0     
bar5s_shape_ask_px_l09_eob                         | OK                             | 6040.2500  | 6061.0000  | 6050.1827  | 0.0     
bar5s_shape_bid_sz_l00_eob                         | OK                             | 1.0000     | 9.0000     | 2.9976     | 0.0     
bar5s_shape_bid_sz_l01_eob                         | OK                             | 1.0000     | 11.0000    | 4.8577     | 0.0     
bar5s_shape_bid_sz_l02_eob                         | OK                             | 1.0000     | 10.0000    | 4.2716     | 0.0     
bar5s_shape_bid_sz_l03_eob                         | OK                             | 1.0000     | 13.0000    | 4.2707     | 0.0     
bar5s_shape_bid_sz_l04_eob                         | OK                             | 1.0000     | 14.0000    | 4.2161     | 0.0     
bar5s_shape_bid_sz_l05_eob                         | OK                             | 1.0000     | 13.0000    | 4.1282     | 0.0     
bar5s_shape_bid_sz_l06_eob                         | OK                             | 1.0000     | 14.0000    | 3.7603     | 0.0     
bar5s_shape_bid_sz_l07_eob                         | OK                             | 1.0000     | 14.0000    | 3.6221     | 0.0     
bar5s_shape_bid_sz_l08_eob                         | OK                             | 1.0000     | 15.0000    | 3.5401     | 0.0     
bar5s_shape_bid_sz_l09_eob                         | OK                             | 1.0000     | 16.0000    | 3.4498     | 0.0     
bar5s_shape_ask_sz_l00_eob                         | OK                             | 1.0000     | 14.0000    | 3.0518     | 0.0     
bar5s_shape_ask_sz_l01_eob                         | OK                             | 1.0000     | 11.0000    | 5.0237     | 0.0     
bar5s_shape_ask_sz_l02_eob                         | OK                             | 1.0000     | 18.0000    | 4.2286     | 0.0     
bar5s_shape_ask_sz_l03_eob                         | OK                             | 1.0000     | 18.0000    | 4.2863     | 0.0     
bar5s_shape_ask_sz_l04_eob                         | OK                             | 1.0000     | 18.0000    | 3.9768     | 0.0     
bar5s_shape_ask_sz_l05_eob                         | OK                             | 1.0000     | 16.0000    | 3.8298     | 0.0     
bar5s_shape_ask_sz_l06_eob                         | OK                             | 1.0000     | 15.0000    | 3.5663     | 0.0     
bar5s_shape_ask_sz_l07_eob                         | OK                             | 1.0000     | 16.0000    | 3.0884     | 0.0     
bar5s_shape_ask_sz_l08_eob                         | OK                             | 1.0000     | 19.0000    | 3.0883     | 0.0     
bar5s_shape_ask_sz_l09_eob                         | OK                             | 1.0000     | 19.0000    | 3.1039     | 0.0     
bar5s_shape_bid_ct_l00_eob                         | OK                             | 1.0000     | 7.0000     | 2.9404     | 0.0     
bar5s_shape_bid_ct_l01_eob                         | OK                             | 1.0000     | 8.0000     | 4.8011     | 0.0     
bar5s_shape_bid_ct_l02_eob                         | OK                             | 1.0000     | 7.0000     | 4.2012     | 0.0     
bar5s_shape_bid_ct_l03_eob                         | OK                             | 1.0000     | 7.0000     | 4.1604     | 0.0     
bar5s_shape_bid_ct_l04_eob                         | OK                             | 1.0000     | 8.0000     | 4.1291     | 0.0     
bar5s_shape_bid_ct_l05_eob                         | OK                             | 1.0000     | 8.0000     | 4.0022     | 0.0     
bar5s_shape_bid_ct_l06_eob                         | OK                             | 1.0000     | 7.0000     | 3.6663     | 0.0     
bar5s_shape_bid_ct_l07_eob                         | OK                             | 1.0000     | 8.0000     | 3.4702     | 0.0     
bar5s_shape_bid_ct_l08_eob                         | OK                             | 1.0000     | 8.0000     | 3.2972     | 0.0     
bar5s_shape_bid_ct_l09_eob                         | OK                             | 1.0000     | 8.0000     | 3.1272     | 0.0     
bar5s_shape_ask_ct_l00_eob                         | OK                             | 1.0000     | 7.0000     | 3.0110     | 0.0     
bar5s_shape_ask_ct_l01_eob                         | OK                             | 1.0000     | 8.0000     | 4.9742     | 0.0     
bar5s_shape_ask_ct_l02_eob                         | OK                             | 1.0000     | 10.0000    | 4.1584     | 0.0     
